"order_line","order_id","order_date","ship_date","ship_mode","customer_id","product_id","sales","quantity","discount","profit"
5294,"CA-2015-111073","2015-12-26","2015-12-30","Standard Class","MC-18100","FUR-TA-10004086","51.588",1,"0.4","-15.4764"
526,"CA-2015-158792","2015-12-26","2016-01-02","Standard Class","BD-11605","OFF-FA-10002815","22.2",5,"0","10.434"
7100,"CA-2015-124933","2015-12-26","2015-12-30","Second Class","DF-13135","OFF-PA-10003302","212.64",6,"0","99.9408"
5294,"CA-2015-111073","2015-12-26","2015-12-30","Standard Class","MC-18100","FUR-TA-10004086","51.588",1,"0.4","-15.4764"
6063,"CA-2015-111780","2015-12-25","2015-12-30","Second Class","RA-19285","TEC-CO-10004202","1199.96",5,"0.2","224.9925"
6064,"CA-2015-111780","2015-12-25","2015-12-30","Second Class","RA-19285","OFF-PA-10001307","12.6",3,"0","6.174"
6065,"CA-2015-111780","2015-12-25","2015-12-30","Second Class","RA-19285","OFF-PA-10001667","17.94",3,"0","8.073"
5974,"CA-2015-143980","2015-12-25","2015-12-29","Standard Class","JK-15640","OFF-AP-10003779","414.96",2,"0","124.488"
7854,"CA-2015-144890","2015-12-25","2015-12-29","Standard Class","SM-20320","OFF-PA-10001526","9.96",2,"0","4.8804"
7336,"CA-2015-113152","2015-12-25","2015-12-30","Standard Class","JK-15625","TEC-AC-10002049","843.9",2,"0","371.316"
2563,"CA-2015-144288","2015-12-25","2015-12-31","Standard Class","MB-17305","OFF-PA-10002787","10.368",2,"0.2","3.6288"
2562,"CA-2015-144288","2015-12-25","2015-12-31","Standard Class","MB-17305","OFF-LA-10003190","9.216",4,"0.2","3.3408"
6065,"CA-2015-111780","2015-12-25","2015-12-30","Second Class","RA-19285","OFF-PA-10001667","17.94",3,"0","8.073"
7854,"CA-2015-144890","2015-12-25","2015-12-29","Standard Class","SM-20320","OFF-PA-10001526","9.96",2,"0","4.8804"
4111,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","FUR-BO-10004360","160.98",1,"0","20.9274"
4112,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","OFF-PA-10002160","17.34",3,"0","8.4966"
2330,"US-2015-147739","2015-12-25","2015-12-29","Standard Class","JD-16150","FUR-FU-10001468","547.136",4,"0.2","-68.392"
5974,"CA-2015-143980","2015-12-25","2015-12-29","Standard Class","JK-15640","OFF-AP-10003779","414.96",2,"0","124.488"
7155,"US-2015-136749","2015-12-25","2015-12-27","Second Class","LH-16900","FUR-FU-10000747","275.88",6,"0","46.8996"
7336,"CA-2015-113152","2015-12-25","2015-12-30","Standard Class","JK-15625","TEC-AC-10002049","843.9",2,"0","371.316"
4113,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","OFF-AR-10002375","3.28",1,"0","0.9512"
6064,"CA-2015-111780","2015-12-25","2015-12-30","Second Class","RA-19285","OFF-PA-10001307","12.6",3,"0","6.174"
7156,"US-2015-136749","2015-12-25","2015-12-27","Second Class","LH-16900","OFF-BI-10004492","157.9",5,"0","74.213"
4110,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","TEC-PH-10002923","73.98",2,"0","19.9746"
2563,"CA-2015-144288","2015-12-25","2015-12-31","Standard Class","MB-17305","OFF-PA-10002787","10.368",2,"0.2","3.6288"
7337,"CA-2015-113152","2015-12-25","2015-12-30","Standard Class","JK-15625","FUR-BO-10002613","449.568",2,"0.2","56.196"
4111,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","FUR-BO-10004360","160.98",1,"0","20.9274"
2562,"CA-2015-144288","2015-12-25","2015-12-31","Standard Class","MB-17305","OFF-LA-10003190","9.216",4,"0.2","3.3408"
7337,"CA-2015-113152","2015-12-25","2015-12-30","Standard Class","JK-15625","FUR-BO-10002613","449.568",2,"0.2","56.196"
7156,"US-2015-136749","2015-12-25","2015-12-27","Second Class","LH-16900","OFF-BI-10004492","157.9",5,"0","74.213"
6063,"CA-2015-111780","2015-12-25","2015-12-30","Second Class","RA-19285","TEC-CO-10004202","1199.96",5,"0.2","224.9925"
7155,"US-2015-136749","2015-12-25","2015-12-27","Second Class","LH-16900","FUR-FU-10000747","275.88",6,"0","46.8996"
2330,"US-2015-147739","2015-12-25","2015-12-29","Standard Class","JD-16150","FUR-FU-10001468","547.136",4,"0.2","-68.392"
4112,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","OFF-PA-10002160","17.34",3,"0","8.4966"
4110,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","TEC-PH-10002923","73.98",2,"0","19.9746"
4113,"CA-2015-153717","2015-12-25","2016-01-01","Standard Class","DL-13495","OFF-AR-10002375","3.28",1,"0","0.9512"
225,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-AR-10001958","27.168",2,"0.2","2.7168"
1371,"US-2015-103471","2015-12-24","2015-12-28","Standard Class","JR-15670","OFF-AR-10003405","14.04",3,"0.2","1.5795"
1370,"US-2015-103471","2015-12-24","2015-12-28","Standard Class","JR-15670","FUR-BO-10002613","590.058",7,"0.7","-786.744"
2082,"CA-2015-120103","2015-12-24","2015-12-29","Standard Class","MS-17365","FUR-FU-10002885","7.712",2,"0.2","1.7352"
2081,"CA-2015-120103","2015-12-24","2015-12-29","Standard Class","MS-17365","TEC-PH-10002170","111.984",2,"0.2","11.1984"
2080,"CA-2015-120103","2015-12-24","2015-12-29","Standard Class","MS-17365","OFF-PA-10001295","106.232",7,"0.2","37.1812"
223,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","FUR-FU-10000087","72.704",4,"0.2","19.0848"
224,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","TEC-MA-10001148","479.988",4,"0.7","-383.9904"
2960,"CA-2015-158456","2015-12-24","2015-12-29","Standard Class","KT-16465","OFF-FA-10004854","45.92",4,"0","21.5824"
1371,"US-2015-103471","2015-12-24","2015-12-28","Standard Class","JR-15670","OFF-AR-10003405","14.04",3,"0.2","1.5795"
1370,"US-2015-103471","2015-12-24","2015-12-28","Standard Class","JR-15670","FUR-BO-10002613","590.058",7,"0.7","-786.744"
8990,"US-2015-128587","2015-12-24","2015-12-30","Standard Class","HM-14860","FUR-FU-10003026","9.68",2,"0","3.7752"
8991,"US-2015-128587","2015-12-24","2015-12-30","Standard Class","HM-14860","TEC-CO-10003763","4899.93",7,"0","2302.9671"
2959,"CA-2015-158456","2015-12-24","2015-12-29","Standard Class","KT-16465","OFF-BI-10001097","19.936",4,"0.2","7.2268"
225,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-AR-10001958","27.168",2,"0.2","2.7168"
2660,"CA-2015-135538","2015-12-24","2015-12-28","Standard Class","HR-14830","FUR-CH-10004287","883.84",4,"0.2","99.432"
220,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-FA-10000585","5.584",2,"0.2","1.8148"
221,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-PA-10004000","22.704",6,"0.2","8.2302"
222,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-BI-10002852","19.776",4,"0.7","-13.8432"
223,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","FUR-FU-10000087","72.704",4,"0.2","19.0848"
224,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","TEC-MA-10001148","479.988",4,"0.7","-383.9904"
2660,"CA-2015-135538","2015-12-24","2015-12-28","Standard Class","HR-14830","FUR-CH-10004287","883.84",4,"0.2","99.432"
2080,"CA-2015-120103","2015-12-24","2015-12-29","Standard Class","MS-17365","OFF-PA-10001295","106.232",7,"0.2","37.1812"
8991,"US-2015-128587","2015-12-24","2015-12-30","Standard Class","HM-14860","TEC-CO-10003763","4899.93",7,"0","2302.9671"
8990,"US-2015-128587","2015-12-24","2015-12-30","Standard Class","HM-14860","FUR-FU-10003026","9.68",2,"0","3.7752"
2081,"CA-2015-120103","2015-12-24","2015-12-29","Standard Class","MS-17365","TEC-PH-10002170","111.984",2,"0.2","11.1984"
2082,"CA-2015-120103","2015-12-24","2015-12-29","Standard Class","MS-17365","FUR-FU-10002885","7.712",2,"0.2","1.7352"
2959,"CA-2015-158456","2015-12-24","2015-12-29","Standard Class","KT-16465","OFF-BI-10001097","19.936",4,"0.2","7.2268"
2960,"CA-2015-158456","2015-12-24","2015-12-29","Standard Class","KT-16465","OFF-FA-10004854","45.92",4,"0","21.5824"
220,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-FA-10000585","5.584",2,"0.2","1.8148"
799,"CA-2015-124653","2015-12-24","2015-12-26","First Class","DB-13120","OFF-LA-10002271","21.56",7,"0","10.3488"
798,"CA-2015-124653","2015-12-24","2015-12-26","First Class","DB-13120","OFF-PA-10002365","12.96",2,"0","6.2208"
797,"CA-2015-124653","2015-12-24","2015-12-26","First Class","DB-13120","OFF-PA-10000176","132.79",7,"0","63.7392"
222,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-BI-10002852","19.776",4,"0.7","-13.8432"
221,"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","OFF-PA-10004000","22.704",6,"0.2","8.2302"
799,"CA-2015-124653","2015-12-24","2015-12-26","First Class","DB-13120","OFF-LA-10002271","21.56",7,"0","10.3488"
798,"CA-2015-124653","2015-12-24","2015-12-26","First Class","DB-13120","OFF-PA-10002365","12.96",2,"0","6.2208"
797,"CA-2015-124653","2015-12-24","2015-12-26","First Class","DB-13120","OFF-PA-10000176","132.79",7,"0","63.7392"
2320,"CA-2015-117828","2015-12-23","2015-12-26","First Class","BD-11500","OFF-AP-10001563","194.32",4,"0","56.3528"
2320,"CA-2015-117828","2015-12-23","2015-12-26","First Class","BD-11500","OFF-AP-10001563","194.32",4,"0","56.3528"
8543,"CA-2015-157287","2015-12-22","2015-12-23","First Class","HR-14830","FUR-CH-10001270","422.625",7,"0.3","0"
4013,"CA-2015-153612","2015-12-22","2015-12-27","Standard Class","BT-11305","OFF-AR-10000203","17.12",4,"0","4.9648"
4013,"CA-2015-153612","2015-12-22","2015-12-27","Standard Class","BT-11305","OFF-AR-10000203","17.12",4,"0","4.9648"
8542,"CA-2015-157287","2015-12-22","2015-12-23","First Class","HR-14830","OFF-ST-10001172","33.568",2,"0.2","1.6784"
8542,"CA-2015-157287","2015-12-22","2015-12-23","First Class","HR-14830","OFF-ST-10001172","33.568",2,"0.2","1.6784"
8543,"CA-2015-157287","2015-12-22","2015-12-23","First Class","HR-14830","FUR-CH-10001270","422.625",7,"0.3","0"
1015,"US-2015-126214","2015-12-21","2015-12-24","Second Class","JS-15880","TEC-AC-10003198","99.6",1,"0","36.852"
4080,"CA-2015-165414","2015-12-21","2015-12-24","First Class","LS-17245","TEC-PH-10002293","47.976",3,"0.2","4.7976"
7755,"CA-2015-161795","2015-12-21","2015-12-23","Second Class","AH-10075","OFF-AR-10001919","3.008",2,"0.2","0.3384"
4080,"CA-2015-165414","2015-12-21","2015-12-24","First Class","LS-17245","TEC-PH-10002293","47.976",3,"0.2","4.7976"
8284,"CA-2015-154284","2015-12-21","2015-12-26","Second Class","SZ-20035","OFF-AR-10001468","59.904",2,"0.2","14.2272"
8283,"CA-2015-154284","2015-12-21","2015-12-26","Second Class","SZ-20035","TEC-MA-10004241","600.53",2,"0.3","137.264"
1014,"US-2015-126214","2015-12-21","2015-12-24","Second Class","JS-15880","FUR-TA-10003748","1618.37",13,"0","356.0414"
8285,"CA-2015-154284","2015-12-21","2015-12-26","Second Class","SZ-20035","TEC-AC-10003198","637.44",8,"0.2","135.456"
2777,"CA-2015-127019","2015-12-21","2015-12-25","Standard Class","ER-13855","OFF-AP-10003971","60.984",7,"0.2","4.5738"
8284,"CA-2015-154284","2015-12-21","2015-12-26","Second Class","SZ-20035","OFF-AR-10001468","59.904",2,"0.2","14.2272"
1014,"US-2015-126214","2015-12-21","2015-12-24","Second Class","JS-15880","FUR-TA-10003748","1618.37",13,"0","356.0414"
8286,"CA-2015-154284","2015-12-21","2015-12-26","Second Class","SZ-20035","FUR-FU-10003039","51.756",3,"0.6","-33.6414"
4335,"CA-2015-112375","2015-12-21","2015-12-27","Standard Class","RD-19720","OFF-EN-10003798","27.312",2,"0.2","9.2178"
8286,"CA-2015-154284","2015-12-21","2015-12-26","Second Class","SZ-20035","FUR-FU-10003039","51.756",3,"0.6","-33.6414"
7755,"CA-2015-161795","2015-12-21","2015-12-23","Second Class","AH-10075","OFF-AR-10001919","3.008",2,"0.2","0.3384"
8285,"CA-2015-154284","2015-12-21","2015-12-26","Second Class","SZ-20035","TEC-AC-10003198","637.44",8,"0.2","135.456"
2777,"CA-2015-127019","2015-12-21","2015-12-25","Standard Class","ER-13855","OFF-AP-10003971","60.984",7,"0.2","4.5738"
4334,"CA-2015-112375","2015-12-21","2015-12-27","Standard Class","RD-19720","TEC-AC-10003237","50.88",6,"0.2","14.628"
4335,"CA-2015-112375","2015-12-21","2015-12-27","Standard Class","RD-19720","OFF-EN-10003798","27.312",2,"0.2","9.2178"
8283,"CA-2015-154284","2015-12-21","2015-12-26","Second Class","SZ-20035","TEC-MA-10004241","600.53",2,"0.3","137.264"
4334,"CA-2015-112375","2015-12-21","2015-12-27","Standard Class","RD-19720","TEC-AC-10003237","50.88",6,"0.2","14.628"
1015,"US-2015-126214","2015-12-21","2015-12-24","Second Class","JS-15880","TEC-AC-10003198","99.6",1,"0","36.852"
471,"CA-2015-154144","2015-12-20","2015-12-24","Standard Class","MH-17785","OFF-PA-10004071","55.48",1,"0","26.6304"
345,"US-2015-120712","2015-12-20","2015-12-24","Standard Class","CS-12130","OFF-ST-10000107","88.8",4,"0.2","-2.22"
345,"US-2015-120712","2015-12-20","2015-12-24","Standard Class","CS-12130","OFF-ST-10000107","88.8",4,"0.2","-2.22"
8670,"CA-2015-158918","2015-12-20","2015-12-25","Second Class","AI-10855","OFF-PA-10004947","17.12",4,"0","7.704"
9012,"CA-2015-137071","2015-12-20","2015-12-21","First Class","ED-13885","TEC-AC-10004353","100.8",2,"0.2","21.42"
4337,"CA-2015-154795","2015-12-20","2015-12-24","Standard Class","GZ-14470","FUR-FU-10002088","14.368",2,"0.2","3.9512"
6735,"CA-2015-141754","2015-12-20","2015-12-25","Standard Class","EM-14200","OFF-LA-10004093","11.696",2,"0.2","3.9474"
4336,"CA-2015-154795","2015-12-20","2015-12-24","Standard Class","GZ-14470","OFF-EN-10003068","7.92",1,"0.2","2.772"
471,"CA-2015-154144","2015-12-20","2015-12-24","Standard Class","MH-17785","OFF-PA-10004071","55.48",1,"0","26.6304"
4336,"CA-2015-154795","2015-12-20","2015-12-24","Standard Class","GZ-14470","OFF-EN-10003068","7.92",1,"0.2","2.772"
8866,"CA-2015-158148","2015-12-20","2015-12-26","Standard Class","JM-15865","OFF-AP-10003281","36.27",3,"0","10.881"
1724,"US-2015-123218","2015-12-20","2015-12-25","Standard Class","KD-16345","FUR-BO-10003966","359.058",3,"0.3","-71.8116"
1723,"US-2015-123218","2015-12-20","2015-12-25","Standard Class","KD-16345","TEC-AC-10000736","255.968",4,"0.2","51.1936"
1722,"US-2015-123218","2015-12-20","2015-12-25","Standard Class","KD-16345","TEC-PH-10001061","159.984",2,"0.2","11.9988"
9012,"CA-2015-137071","2015-12-20","2015-12-21","First Class","ED-13885","TEC-AC-10004353","100.8",2,"0.2","21.42"
4337,"CA-2015-154795","2015-12-20","2015-12-24","Standard Class","GZ-14470","FUR-FU-10002088","14.368",2,"0.2","3.9512"
8670,"CA-2015-158918","2015-12-20","2015-12-25","Second Class","AI-10855","OFF-PA-10004947","17.12",4,"0","7.704"
1724,"US-2015-123218","2015-12-20","2015-12-25","Standard Class","KD-16345","FUR-BO-10003966","359.058",3,"0.3","-71.8116"
1723,"US-2015-123218","2015-12-20","2015-12-25","Standard Class","KD-16345","TEC-AC-10000736","255.968",4,"0.2","51.1936"
8866,"CA-2015-158148","2015-12-20","2015-12-26","Standard Class","JM-15865","OFF-AP-10003281","36.27",3,"0","10.881"
1722,"US-2015-123218","2015-12-20","2015-12-25","Standard Class","KD-16345","TEC-PH-10001061","159.984",2,"0.2","11.9988"
6735,"CA-2015-141754","2015-12-20","2015-12-25","Standard Class","EM-14200","OFF-LA-10004093","11.696",2,"0.2","3.9474"
7488,"US-2015-134558","2015-12-19","2015-12-24","Second Class","PM-19135","TEC-AC-10004145","2249.91",9,"0","517.4793"
